threshold,tp,fp,fn,tn,precision,recall,fraud_missed_cost,review_cost,total_cost
0.01,106,79,17,71000,0.572972972972973,0.8617886178861789,1700.0,395.0,2095.0
0.02,104,58,19,71021,0.6419753086419753,0.8455284552845529,1900.0,290.0,2190.0
0.03,103,48,20,71031,0.6821192052980133,0.8373983739837398,2000.0,240.0,2240.0
0.04,103,43,20,71036,0.7054794520547946,0.8373983739837398,2000.0,215.0,2215.0
0.05,103,34,20,71045,0.7518248175182481,0.8373983739837398,2000.0,170.0,2170.0
0.060000000000000005,103,31,20,71048,0.7686567164179104,0.8373983739837398,2000.0,155.0,2155.0
0.06999999999999999,103,28,20,71051,0.7862595419847328,0.8373983739837398,2000.0,140.0,2140.0
0.08,103,24,20,71055,0.8110236220472441,0.8373983739837398,2000.0,120.0,2120.0
0.09,103,23,20,71056,0.8174603174603174,0.8373983739837398,2000.0,115.0,2115.0
0.09999999999999999,103,21,20,71058,0.8306451612903226,0.8373983739837398,2000.0,105.0,2105.0
0.11,103,21,20,71058,0.8306451612903226,0.8373983739837398,2000.0,105.0,2105.0
0.12,103,19,20,71060,0.8442622950819673,0.8373983739837398,2000.0,95.0,2095.0
0.13,103,19,20,71060,0.8442622950819673,0.8373983739837398,2000.0,95.0,2095.0
0.14,102,19,21,71060,0.8429752066115702,0.8292682926829268,2100.0,95.0,2195.0
0.15000000000000002,102,19,21,71060,0.8429752066115702,0.8292682926829268,2100.0,95.0,2195.0
0.16,102,18,21,71061,0.85,0.8292682926829268,2100.0,90.0,2190.0
0.17,101,18,22,71061,0.8487394957983193,0.8211382113821138,2200.0,90.0,2290.0
0.18000000000000002,101,17,22,71062,0.8559322033898306,0.8211382113821138,2200.0,85.0,2285.0
0.19,101,17,22,71062,0.8559322033898306,0.8211382113821138,2200.0,85.0,2285.0
0.2,101,17,22,71062,0.8559322033898306,0.8211382113821138,2200.0,85.0,2285.0
0.21000000000000002,101,17,22,71062,0.8559322033898306,0.8211382113821138,2200.0,85.0,2285.0
0.22,101,16,22,71063,0.8632478632478633,0.8211382113821138,2200.0,80.0,2280.0
0.23,101,16,22,71063,0.8632478632478633,0.8211382113821138,2200.0,80.0,2280.0
0.24000000000000002,101,16,22,71063,0.8632478632478633,0.8211382113821138,2200.0,80.0,2280.0
0.25,101,16,22,71063,0.8632478632478633,0.8211382113821138,2200.0,80.0,2280.0
0.26,101,15,22,71064,0.8706896551724138,0.8211382113821138,2200.0,75.0,2275.0
0.27,101,15,22,71064,0.8706896551724138,0.8211382113821138,2200.0,75.0,2275.0
0.28,101,15,22,71064,0.8706896551724138,0.8211382113821138,2200.0,75.0,2275.0
0.29000000000000004,100,15,23,71064,0.8695652173913043,0.8130081300813008,2300.0,75.0,2375.0
0.3,100,15,23,71064,0.8695652173913043,0.8130081300813008,2300.0,75.0,2375.0
0.31,100,14,23,71065,0.8771929824561403,0.8130081300813008,2300.0,70.0,2370.0
0.32,100,14,23,71065,0.8771929824561403,0.8130081300813008,2300.0,70.0,2370.0
0.33,100,14,23,71065,0.8771929824561403,0.8130081300813008,2300.0,70.0,2370.0
0.34,100,14,23,71065,0.8771929824561403,0.8130081300813008,2300.0,70.0,2370.0
