threshold,tp,fp,fn,tn,precision,recall,fraud_missed_cost,review_cost,total_cost
0.46,109,1900,14,69179,0.05425584868093579,0.8861788617886179,1400.0,9500.0,10900.0
0.47000000000000003,109,1824,14,69255,0.05638903259182618,0.8861788617886179,1400.0,9120.0,10520.0
0.48000000000000004,109,1761,14,69318,0.058288770053475936,0.8861788617886179,1400.0,8805.0,10205.0
0.49,109,1705,14,69374,0.060088202866593166,0.8861788617886179,1400.0,8525.0,9925.0
0.5,109,1635,14,69444,0.0625,0.8861788617886179,1400.0,8175.0,9575.0
0.51,109,1566,14,69513,0.06507462686567164,0.8861788617886179,1400.0,7830.0,9230.0
0.52,109,1515,14,69564,0.06711822660098522,0.8861788617886179,1400.0,7575.0,8975.0
0.53,109,1455,14,69624,0.06969309462915602,0.8861788617886179,1400.0,7275.0,8675.0
0.54,109,1405,14,69674,0.07199471598414796,0.8861788617886179,1400.0,7025.0,8425.0
0.55,109,1355,14,69724,0.0744535519125683,0.8861788617886179,1400.0,6775.0,8175.0
0.56,109,1298,14,69781,0.07746979388770434,0.8861788617886179,1400.0,6490.0,7890.0
0.5700000000000001,109,1240,14,69839,0.08080059303187546,0.8861788617886179,1400.0,6200.0,7600.0
0.5800000000000001,109,1194,14,69885,0.08365310821181889,0.8861788617886179,1400.0,5970.0,7370.0
0.59,109,1150,14,69929,0.08657664813343924,0.8861788617886179,1400.0,5750.0,7150.0
0.6,109,1096,14,69983,0.09045643153526971,0.8861788617886179,1400.0,5480.0,6880.0
0.61,109,1052,14,70027,0.09388458225667529,0.8861788617886179,1400.0,5260.0,6660.0
0.62,108,1006,15,70073,0.09694793536804308,0.8780487804878049,1500.0,5030.0,6530.0
0.63,108,970,15,70109,0.10018552875695733,0.8780487804878049,1500.0,4850.0,6350.0
0.64,108,931,15,70148,0.1039461020211742,0.8780487804878049,1500.0,4655.0,6155.0
0.65,108,901,15,70178,0.10703666997026759,0.8780487804878049,1500.0,4505.0,6005.0
0.66,108,871,15,70208,0.11031664964249234,0.8780487804878049,1500.0,4355.0,5855.0
0.67,108,838,15,70241,0.11416490486257928,0.8780487804878049,1500.0,4190.0,5690.0
0.68,108,810,15,70269,0.11764705882352941,0.8780487804878049,1500.0,4050.0,5550.0
0.6900000000000001,108,777,15,70302,0.12203389830508475,0.8780487804878049,1500.0,3885.0,5385.0
