threshold,tp,fp,fn,tn,precision,recall,fraud_missed_cost,review_cost,total_cost
0.59,60,494,63,70585,0.10830324909747292,0.4878048780487805,6300.0,2470.0,8770.0
0.6,56,460,67,70619,0.10852713178294573,0.45528455284552843,6700.0,2300.0,9000.0
0.61,54,427,69,70652,0.11226611226611227,0.43902439024390244,6900.0,2135.0,9035.0
0.62,53,383,70,70696,0.12155963302752294,0.43089430894308944,7000.0,1915.0,8915.0
0.63,48,351,75,70728,0.12030075187969924,0.3902439024390244,7500.0,1755.0,9255.0
0.64,47,315,76,70764,0.1298342541436464,0.3821138211382114,7600.0,1575.0,9175.0
0.65,43,287,80,70792,0.1303030303030303,0.34959349593495936,8000.0,1435.0,9435.0
0.66,41,246,82,70833,0.14285714285714285,0.3333333333333333,8200.0,1230.0,9430.0
0.67,39,215,84,70864,0.15354330708661418,0.3170731707317073,8400.0,1075.0,9475.0
0.68,37,183,86,70896,0.16818181818181818,0.3008130081300813,8600.0,915.0,9515.0
0.6900000000000001,35,167,88,70912,0.17326732673267325,0.2845528455284553,8800.0,835.0,9635.0
0.7000000000000001,33,144,90,70935,0.1864406779661017,0.2682926829268293,9000.0,720.0,9720.0
0.7100000000000001,32,124,91,70955,0.20512820512820512,0.2601626016260163,9100.0,620.0,9720.0
0.72,30,118,93,70961,0.20270270270270271,0.24390243902439024,9300.0,590.0,9890.0
0.73,29,108,94,70971,0.2116788321167883,0.23577235772357724,9400.0,540.0,9940.0
0.74,29,98,94,70981,0.2283464566929134,0.23577235772357724,9400.0,490.0,9890.0
0.75,27,91,96,70988,0.2288135593220339,0.21951219512195122,9600.0,455.0,10055.0
0.76,24,83,99,70996,0.22429906542056074,0.1951219512195122,9900.0,415.0,10315.0
0.77,19,78,104,71001,0.1958762886597938,0.15447154471544716,10400.0,390.0,10790.0
0.78,18,67,105,71012,0.21176470588235294,0.14634146341463414,10500.0,335.0,10835.0
0.79,17,60,106,71019,0.22077922077922077,0.13821138211382114,10600.0,300.0,10900.0
0.8,17,49,106,71030,0.25757575757575757,0.13821138211382114,10600.0,245.0,10845.0
0.81,11,42,112,71037,0.20754716981132076,0.08943089430894309,11200.0,210.0,11410.0
0.8200000000000001,8,40,115,71039,0.16666666666666666,0.06504065040650407,11500.0,200.0,11700.0
0.8300000000000001,8,35,115,71044,0.18604651162790697,0.06504065040650407,11500.0,175.0,11675.0
0.8400000000000001,6,29,117,71050,0.17142857142857143,0.04878048780487805,11700.0,145.0,11845.0
0.85,5,27,118,71052,0.15625,0.04065040650406504,11800.0,135.0,11935.0
0.86,5,22,118,71057,0.18518518518518517,0.04065040650406504,11800.0,110.0,11910.0
0.87,5,20,118,71059,0.2,0.04065040650406504,11800.0,100.0,11900.0
0.88,4,15,119,71064,0.21052631578947367,0.032520325203252036,11900.0,75.0,11975.0
0.89,0,12,123,71067,0.0,0.0,12300.0,60.0,12360.0
0.9,0,8,123,71071,0.0,0.0,12300.0,40.0,12340.0
0.91,0,8,123,71071,0.0,0.0,12300.0,40.0,12340.0
0.92,0,7,123,71072,0.0,0.0,12300.0,35.0,12335.0
0.93,0,7,123,71072,0.0,0.0,12300.0,35.0,12335.0
0.9400000000000001,0,4,123,71075,0.0,0.0,12300.0,20.0,12320.0
0.9500000000000001,0,2,123,71077,0.0,0.0,12300.0,10.0,12310.0
0.9600000000000001,0,2,123,71077,0.0,0.0,12300.0,10.0,12310.0
0.97,0,1,123,71078,0.0,0.0,12300.0,5.0,12305.0
0.98,0,1,123,71078,0.0,0.0,12300.0,5.0,12305.0
0.99,0,1,123,71078,0.0,0.0,12300.0,5.0,12305.0
